Id,Wire-Length,Wire-Width,Temperature,Resistance
1,4.18688853422e-06,1.24281764623e-07,49.0680918391,49.1090636806
2,5.88145345499e-06,1.07685759562e-07,43.6589345495,91.5866730775
3,6.19005213298e-06,5.96929294619e-08,35.3523847104,163.889784081
4,7.14658054273e-06,1.20106548908e-07,59.2335212932,93.5038351782
5,5.41565946383e-06,1.01110278176e-07,36.3881933408,72.9233501701
6,5.4840384891e-06,9.13404914181e-08,39.8059796208,89.6734747111
7,5.2733600357e-06,7.85125434179e-08,58.576800141,103.38152701
8,6.11064853382e-06,1.1286807325e-07,47.7006494253,89.9023327606
9,3.38908894741e-06,1.12828854298e-07,58.6833864776,51.0726437112
10,3.96378597907e-06,9.33522438999e-08,61.3630937827,66.511296167
11,5.21632592266e-06,1.04475045704e-07,52.115465894,87.8258156011
12,4.85465728844e-06,1.13285128033e-07,47.9986966258,63.3131750377
13,5.72302497903e-06,6.74934560827e-08,45.7532889582,126.966874222
14,5.47298338237e-06,1.03509731472e-07,33.4230118925,84.9791079073
15,6.83091430295e-06,8.38114701172e-08,52.7807364907,133.100757469
16,7.00131282821e-06,5.47277717178e-08,38.465864812,191.480256796
17,5.62026512796e-06,1.14821064333e-07,57.686492578,79.7935417028
18,5.13264299599e-06,7.52365543894e-08,45.862048004,116.080610208
19,4.31710552747e-06,8.90295260414e-08,66.7750582338,77.0275541414
20,4.60541765457e-06,8.2192032383e-08,45.0622854471,88.9952782303
21,6.60418861088e-06,9.48346760215e-08,55.4604642368,118.880731539
22,7.60472510346e-06,1.06889051613e-07,65.1466658765,124.213991155
23,6.09094608262e-06,8.74886570625e-08,46.0167678021,115.770768319
24,5.60573866247e-06,1.04083681843e-07,38.6142053244,83.9849539049
25,2.92369825973e-06,8.29955895798e-08,52.0835945278,59.0852747068
26,3.86279585959e-06,9.06280790302e-08,49.4722167082,72.4093141536
27,5.48498581096e-06,9.25952680844e-08,62.0986475687,89.4806433132
28,3.75764456481e-06,1.22670854704e-07,33.6452111526,47.9374103648
